ts,tick_current,price_normalised,total_equity,active_lower_tick,active_upper_tick,liquidity,amount0_mm,amount1_mm,token0_fee_accul,token1_fee_accul,peak_equity
1767568003,1574,117052211,961534870998,1550,1600,355736360849393,427159808197,461534871001,0,0,961534870998
1767568009,1575,117057266,961555483324,1550,1600,355736360849393,410562857279,480961827382,0,669337,961555483324
1767568009,1574,117051450,961531367440,1550,1600,355736360849393,418731059789,471400590357,74861,669337,961555483324
1767568011,1574,117056570,961552622404,1550,1600,355736360849393,411539165496,479818991068,143207,669337,961555483324
1767568053,1575,117065960,961590646922,1550,1600,355736360849393,398352603603,495255347330,143207,1749964,961590646922
1767568059,1575,117065385,961588354068,1550,1600,355736360849393,399160564182,494309502841,199768,1749964,961590646922
1767568063,1575,117064901,961586420484,1550,1600,355736360849393,399840371720,493513685172,247358,1749964,961590646922
1767568071,1575,117062626,961577287765,1550,1600,355736360849393,403034463940,489774560592,470960,1749964,961590646922
1767568219,1575,117060006,961566680033,1550,1600,355736360849393,406713959200,485467294991,728543,1749964,961590646922
1767568345,1575,117059025,961562683402,1550,1600,355736360849393,408092150224,483853991249,825023,1749964,961590646922
1767568385,1575,117065101,961587219884,1550,1600,355736360849393,399559018751,493843051029,825023,2449251,961590646922
1767568391,1576,117071178,961611241843,1550,1600,355736360849393,391026330182,503832110809,825023,3148539,961611241843
1767568393,1576,117070520,961608665850,1550,1600,355736360849393,391949874066,502750910142,889676,3148539,961611241843
1767568425,1576,117070004,961606641518,1550,1600,355736360849393,392673587165,501903657317,940339,3148539,961611241843
1767568431,1576,117069815,961605899111,1550,1600,355736360849393,392940250196,501591475147,959006,3148539,961611241843
1767568455,1576,117069276,961603779124,1550,1600,355736360849393,393696818619,500705763932,1011969,3148539,961611241843
1767568877,1576,117069808,961605871605,1550,1600,355736360849393,392949070705,501581148993,1011969,3209820,961611241843
1767568879,1576,117070661,961609218361,1550,1600,355736360849393,391751801868,502982794435,1011969,3307942,961611241843
1767568885,1576,117070091,961606983091,1550,1600,355736360849393,392551896264,502046120913,1067979,3307942,961611241843
1767568893,1576,117070195,961607391270,1550,1600,355736360849393,392406125828,502216774572,1067979,3319889,961611241843
1767569005,1576,117070820,961609841069,1550,1600,355736360849393,391527772273,503245067542,1067979,3391875,961611241843
1767569107,1576,117070274,961607701227,1550,1600,355736360849393,392294800990,502347102821,1121674,3391875,961611241843
1767569107,1576,117069700,961605447137,1550,1600,355736360849393,393101149289,501403110968,1178122,3391875,961611241843
1767569113,1576,117069045,961602869308,1550,1600,355736360849393,394020195767,500327189017,1242459,3391875,961611241843
1767569133,1576,117069669,961605325268,1550,1600,355736360849393,393143882485,501353083350,1242459,3463692,961611241843
1767569203,1576,117069736,961605588644,1550,1600,355736360849393,393050243616,501462706096,1242459,3471366,961611241843
1767569245,1576,117069803,961605851957,1550,1600,355736360849393,392956203546,501572798590,1242459,3479073,961611241843
1767569313,1576,117069227,961603586195,1550,1600,355736360849393,393765054401,500625880812,1299082,3479073,961611241843
